placeDcid,placeName,Count_Person_SpeakEnglishNotAtAll_18To64Years_SpanishSpokenAtHome,GiniIndex_EconomicActivity,Count_Person_PerArea,Count_Person_NoHealthInsurance,Count_CriminalActivities_CombinedCrime,GenderIncomeInequality_Person_15OrMoreYears_WithIncome,Median_Income_Person,Count_Household,Count_Person_BachelorOfScienceAndEngineeringRelatedMajor,UnemploymentRate_Person
"geoId/01001","Autauga County, AL",,,,3856,,0.32115409,29725,21397,1034,2.4
"geoId/01003","Baldwin County, AL",147,,,18679,,0.23834602,29802,80930,6163,2.3
"geoId/01005","Barbour County, AL",22,,,2544,,0.14874904,17963,9345,220,4.6
"geoId/01007","Bibb County, AL",15,,,2201,,0.21992257,21958,6891,125,2.6
"geoId/01009","Blount County, AL",81,,,6159,,0.20639278,26976,20847,875,1.9
"geoId/01011","Bullock County, AL",,,,1122,,0.33142884,21571,3521,76,3.2
"geoId/01013","Butler County, AL",,,,1694,,0.18622004,19685,6506,300,4.4
"geoId/01015","Calhoun County, AL",132,,,10737,,0.24110933,24069,44605,1760,3.4
"geoId/01017","Chambers County, AL",,,,3429,,0.16710887,22754,13448,314,2.7
"geoId/01019","Cherokee County, AL",,,,2217,,0.24869914,23121,10737,423,2
"geoId/01021","Chilton County, AL",26,,,5681,,0.24986362,24132,16927,342,2.3
"geoId/01023","Choctaw County, AL",,,,1323,,0.30596451,20652,5300,237,3.4
"geoId/01025","Clarke County, AL",,,,2305,,0.42015076,21613,9090,177,5.2
"geoId/01027","Clay County, AL",12,,,1354,,0.29860031,22404,5198,114,2
"geoId/01029","Cleburne County, AL",,,,1808,,0.2130768,23433,5680,202,2.1
"geoId/01031","Coffee County, AL",110,,,4882,,0.2774941,28172,19924,875,2.3
"geoId/01033","Colbert County, AL",133,,,3916,,0.23970684,25308,21880,865,3.3
"geoId/01035","Conecuh County, AL",,,,1566,,0.08082374,21085,4553,108,3.8
"geoId/01037","Coosa County, AL",,,,826,,0.19808571,20110,4032,80,2.2
"geoId/01039","Covington County, AL",,,,4067,,0.26533197,24623,14852,474,2.3
"geoId/01041","Crenshaw County, AL",,,,1185,,0.21738311,21337,4943,165,2.7
"geoId/01043","Cullman County, AL",64,,,9092,,0.24240676,24163,31034,1109,1.8
"geoId/01045","Dale County, AL",199,,,5370,,0.29980774,24767,18806,560,2.6
"geoId/01047","Dallas County, AL",,,,4316,,0.15138878,20682,15910,354,6.7
"geoId/01049","DeKalb County, AL",592,,,9641,,0.27116245,21951,26040,704,2
"geoId/01051","Elmore County, AL",17,,,5655,,0.17444928,29988,29708,1503,2.2
"geoId/01053","Escambia County, AL",,,,4860,,0.23682537,22986,13089,371,3.1
"geoId/01055","Etowah County, AL",186,,,10781,,0.22956093,23677,38942,2088,3.3
"geoId/01057","Fayette County, AL",,,,1236,,0.32689043,21529,6802,158,2.5
"geoId/01059","Franklin County, AL",234,,,3656,,0.25727273,24210,11048,290,2.1
"geoId/01061","Geneva County, AL",,,,3304,,0.22622409,22376,10383,382,2.3
"geoId/01063","Greene County, AL",,,,1057,,0.19147541,16949,2951,19,5.8
"geoId/01065","Hale County, AL",,,,1381,,0.20731581,19167,5650,86,4.7
"geoId/01067","Henry County, AL",,,,1654,,0.23748726,23973,6630,185,2.5
"geoId/01069","Houston County, AL",54,,,10903,,0.25171802,25191,39311,1920,2.6
"geoId/01071","Jackson County, AL",1,,,4883,,0.23320072,24004,20695,564,2.4
"geoId/01073","Jefferson County, AL",1225,,,60199,,0.1893365,29369,261231,15890,2.9
"geoId/01075","Lamar County, AL",,,,1454,,0.32376842,21355,5856,121,2.2
"geoId/01077","Lauderdale County, AL",44,,,8257,,0.26686804,26007,38471,1561,2.6
"geoId/01079","Lawrence County, AL",,,,2969,,0.2979076,24698,12677,406,2.3
"geoId/01081","Lee County, AL",30,,,12427,,0.24854369,25439,60237,3338,2.3
